Product-id,Seller-id,Product-SKU,Product-Title,Product-Brand,Author,URL,img_URL,Regular-Price,Final-Price,Comment,TIKI-NOW,Rating,Installment,Page,Location
54748899,54748900,5075886035946,Muôn Kiếp Nhân Sinh (Many Lives - Many Times),,Nguyên Phong,https://tiki.vn/muon-kiep-nhan-sinh-many-lives-many-times-p54748899.html?src=category-page-8322.316&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/30/ee/5a/dbf45bb1609085f9de51b44e0546dda4.jpg,168.000đ,106.932đ                                            -36%,1600 nhận xét,YES,96%,,1,0
11232442,11232443,9552147738847,Đừng Lựa Chọn An Nhàn Khi Còn Trẻ,,Cảnh Thiên,https://tiki.vn/dung-lua-chon-an-nhan-khi-con-tre-p11232442.html?src=category-page-8322.316&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/eb/62/6b/0e56b45bddc01b57277484865818ab9b.jpg,81.000đ,60.750đ                                            -25%,2145 nhận xét,YES,94%,,1,1
10005245,10005246,2496196333059,Đàn Ông Sao Hỏa Đàn Bà Sao Kim,,John Gray,https://tiki.vn/dan-ong-sao-hoa-dan-ba-sao-kim-p10005245.html?src=category-page-8322.316&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/0a/f6/38/bc10734989977da424642a1c4750eee2.jpg,188.000đ,112.512đ                                            -40%,773 nhận xét,YES,92%,,1,2
50751279,50751280,4746981416862,Vui Vẻ Không Quạu Nha - Tản Văn,,Ở Đây Zui Nè,https://tiki.vn/vui-ve-khong-quau-nha-tan-van-p50751279.html?src=category-page-8322.316&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/b2/56/d3/17262447faaef713be60d6b25ec0551d.jpg,69.000đ,42.502đ                                            -38%,1241 nhận xét,YES,92%,,1,3
888553,888555,3531839263887,Sapiens: Lược Sử Loài Người (Tái Bản Có Chỉnh Sửa) ,,Yuval Noah Harari,https://tiki.vn/sapiens-luoc-su-loai-nguoi-tai-ban-co-chinh-sua-p888553.html?src=category-page-8322.316&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/56/3f/4f/f4e6621e69775643d22604bccef281bf.jpg,209.000đ,122.100đ                                            -42%,1298 nhận xét,YES,94%,,1,4
480040,192412,2436661537384,Đắc Nhân Tâm (Khổ Lớn),,Dale Carnegie,https://tiki.vn/dac-nhan-tam-kho-lon-p480040.html?src=category-page-8322.316&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/df/7d/da/d340edda2b0eacb7ddc47537cddb5e08.jpg,76.000đ,50.540đ                                            -34%,2788 nhận xét,YES,92%,,1,5
1007137,1105702,9371358036029,Tự Học 2000 Từ Vựng Tiếng Anh Theo Chủ Đề,,The Windy,https://tiki.vn/tu-hoc-2000-tu-vung-tieng-anh-theo-chu-de-p1007137.html?src=category-page-8322.316&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/d5/53/0e/fc00028419754638dd5b250abbcb0de7.jpg,65.000đ,42.250đ                                            -35%,397 nhận xét,NO,90%,,1,6
53434797,53434798,1043002799670,Sách Tài Chính Cá Nhân Cho Người Việt Nam - Tặng Khóa học Online về Tài chính,,Lâm Minh Chánh,"https://tiki.vn//t.ants.vn/a3/c/?bc=0afc9685f6,pageview,1601213745,visitor,1,7496227197,638770403,1345228919,10384,1,10908943715,10908942671,1,0_1&t_rls=7496227197-638770407-0-2000&t_s=7496227197-10908943715-1345228919:1&t_kw=&t_z=&t_age=7496227197-10908943715-4:1.0&t_gd=7496227197-10908943715-2:1.0&t_tp=&t_itr=&t_imk=&t_rm=&c_tp=&c_itr=&c_imk=&c_rm=&ti_area=29:1:VN&ti_gd=2&ti_age=3&ti_pl=1&ti_nw=:::1000&ti_dv=1:1:5:10:169:487613&skw=&aid=visitor&cv=edf89892&nspace=tiki&action_name=×tamp=1601213745238&url=&urlref=&hostname=&gent=&format=33&template=0&res=&gd=2&loc=29-1-vn&device_model=desktop&redirect=https%3A%2F%2Ftiki.vn%2Fsach-tai-chinh-ca-nhan-cho-nguoi-viet-nam-tang-khoa-hoc-online-ve-tai-chinh-p53434797.html%3Fspid%3D53434798&prd_imp=7496227197-10908943715-8801589256:1&pos=8",https://salt.tikicdn.com/cache/280x280/ts/product/27/02/f2/51577b8e7eeb27545e2d5016151793ca.jpg,200.000đ,200.000đ,415 nhận xét,YES,94%,,1,7
6926849,6926851,6311429831712,Mindmap English Grammar - Ngữ Pháp Tiếng Anh Bằng Sơ Đồ Tư Duy,,Đỗ Nhung,https://tiki.vn/mindmap-english-grammar-ngu-phap-tieng-anh-bang-so-do-tu-duy-p6926849.html?src=category-page-8322.316&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/8d/dd/67/cd9aa1dcdfa1e47b853b9b01d9802c59.jpg,190.000đ,122.900đ                                            -35%,236 nhận xét,YES,90%,,1,8
26114399,26114400,6851692325469,"Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh",,Tống Mặc,https://tiki.vn/nong-gian-la-ban-nang-tinh-lang-la-ban-linh-p26114399.html?src=category-page-8322.316&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/70/9a/98/e6d54019a2079b9565114bce93b245b7.jpg,89.000đ,71.200đ                                            -20%,1092 nhận xét,YES,94%,,1,9
