Product-id,Seller-id,Product-SKU,Product-Title,Product-Brand,Author,URL,img_URL,Regular-Price,Final-Price,Comment,TIKI-NOW,Rating,Installment,Page,Location
22956067,40823146,9407575503638,Xe Máy Honda Winner X - Phiên Bản Thể Thao,Honda,,https://tiki.vn/xe-may-honda-winner-x-phien-ban-the-thao-p22956067.html?src=category-page-8594&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/c2/cb/89/e9752e1a4eb12f4c12d80b513d6263a7.jpg,50.000.000đ,37.500.000đ                                            -25%,51 nhận xét,NO,98%,Trả góp 0%,1,0
45347711,45830681,5856630004285,Xe máy Honda Air Blade 2020 - 150cc - Phanh ABS,Honda,,https://tiki.vn/xe-may-honda-air-blade-2020-150cc-phanh-abs-p45347711.html?src=category-page-8594&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/62/fe/08/3488c6f88ef7724b380df97770b6310d.jpg,65.000.000đ,52.280.000đ                                            -20%,37 nhận xét,NO,92%,Trả góp 0%,1,1
45347722,45830776,5466775498407,Xe máy Honda Air Blade 2020 - 125cc - Phanh CBS,Honda,,https://tiki.vn/xe-may-honda-air-blade-2020-125cc-phanh-cbs-p45347722.html?src=category-page-8594&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/9e/89/a5/4db6e936542e1f69916c4047e9a2afee.jpg,47.000.000đ,40.990.000đ                                            -13%,51 nhận xét,NO,92%,Trả góp 0%,1,2
25421092,7974691,5168436929670,Xe Máy Honda Vision 2019 Bản Cao Cấp Smartkey,Honda,,https://tiki.vn/xe-may-honda-vision-2019-ban-cao-cap-smartkey-p25421092.html?src=category-page-8594&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/d9/b7/19/0e499ba3ad1741b54ca5d2d8d41d7824.jpg,36.000.000đ,31.420.000đ                                            -13%,72 nhận xét,NO,96%,Trả góp 0%,1,3
21076785,59505172,5642831251258,"Bảng số điện thoại gắn taplo ô tô, xe hơi",OEM,,https://tiki.vn/bang-so-dien-thoai-gan-taplo-o-to-xe-hoi-p21076785.html?src=category-page-8594&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/86/9b/65/e09c22aacf4d088a0aad09d37da1a51c.jpg,100.000đ,49.000đ                                            -51%,279 nhận xét,YES,82%,,1,4
45085577,45085581,4393298369284,Mũ Bảo Hiểm có kính 3/4 đầu lót màu cao cấp,BOPA,,https://tiki.vn/mu-bao-hiem-co-kinh-3-4-dau-lot-mau-cao-cap-p45085577.html?src=category-page-8594&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/81/ee/07/e305de0bc63e7962287e056ca539a01e.jpg,253.000đ,149.000đ                                            -41%,100 nhận xét,YES,82%,,1,5
49262304,49262313,1734942199971,Nón bảo hiểm 3/4 Royal M20C,Royal,,https://tiki.vn/non-bao-hiem-3-4-royal-m20c-p49262304.html?src=category-page-8594&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/4f/7b/2f/ecfa7ac3fd195a8d8aaae328795d494c.jpg,550.000đ,429.000đ                                            -22%,5 nhận xét,YES,84%,,1,6
22956063,59436767,2300549194764,Xe Máy Honda Winner X - Phiên Bản Đen Mờ - Phanh ABS - Đen Vàng Đồng,Honda,,https://tiki.vn/xe-may-honda-winner-x-phien-ban-den-mo-phanh-abs-den-vang-dong-p22956063.html?src=category-page-8594&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/9b/16/94/283db857c8d0924c143d3d6ce9f8cce1.jpg,60.000.000đ,42.200.000đ                                            -30%,38 nhận xét,NO,98%,Trả góp 0%,1,7
22956058,59436795,6026029832709,Xe Máy Honda Winner X - Phiên Bản Camo - Phanh ABS,Honda,,https://tiki.vn/xe-may-honda-winner-x-phien-ban-camo-phanh-abs-p22956058.html?src=category-page-8594&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/e0/c4/87/24974aaeecf239de60d55f3e46332ccc.jpg,55.000.000đ,42.200.000đ                                            -23%,36 nhận xét,NO,98%,Trả góp 0%,1,8
50819880,50819881,1883861365827,"Bơm xe đạp, xe máy xách tay siêu nhẹ, áp suất 120 PSI, thân hợp kim siêu bền, hỗ trợ cả van Mỹ và van Pháp, bơm được cho tất cả các loại xe đạp bao gồm xe đua, xe địa hình, xe đạp đường trường, thương hiệu Wheel Up - Hàng chính hãng ",Wheel Up,,https://tiki.vn/bom-xe-dap-xach-tay-sieu-nhe-ap-suat-120-psi-than-hop-kim-sieu-ben-ho-tro-ca-van-my-va-van-phap-bom-duoc-cho-tat-ca-cac-loai-xe-dap-bao-gom-xe-dua-xe-dia-hinh-xe-dap-duong-truong-thuong-hieu-wheel-up-hang-chinh-hang-p50819880.html?src=category-page-8594&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/a8/e0/c9/e769dc2399ee84d45bd2182a7c859f0f.jpg,140.000đ,109.000đ                                            -22%,136 nhận xét,YES,88%,,1,9
57668290,57668294,5916407964669,Mũ Bảo Hiểm ¾ Đầu Hai Kính Dành Cho Phượt Thủ Nhiều Màu Cá Tính Napoli N125 ,Napoli,,https://tiki.vn/mu-bao-hiem-dau-hai-kinh-danh-cho-phuot-thu-nhieu-mau-ca-tinh-napoli-n125-p57668290.html?src=category-page-8594&2hi=0,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/16/31/fc/5eedda4f08a32bf7289bf59c6d3f9320.jpg,513.000đ,349.000đ                                            -32%,55 nhận xét,YES,86%,,1,10
22414354,22712643,4204918631950,Xe máy Honda Lead Cao Cấp 2019 (Smart Key),Honda,,https://tiki.vn/xe-may-honda-lead-cao-cap-2019-smart-key-p22414354.html?src=category-page-8594&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/7d/49/72/08c9505814ef33781d5a945fdb26ed57.jpg,45.000.000đ,39.700.000đ                                            -12%,63 nhận xét,NO,92%,Trả góp 0%,1,11
35939103,35939109,6937047658052,Mũ Bảo Hiểm Chita- 1/2 đầu CT31 - Hàng Chính Hãng,Chita,,https://tiki.vn/mu-bao-hiem-chita-1-2-dau-ct31-hang-chinh-hang-p35939103.html?src=category-page-8594&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/14/f5/58/0ecdf9cd3c8719e12d472bfeb4110aca.jpg,180.000đ,125.000đ                                            -31%,170 nhận xét,YES,88%,,1,12
1389309,31875873,4939547745098,"Máy Bơm Ô tô, Xe hơi Đa Năng Michelin 12266 - Hàng Chính Hãng",Michelin,,https://tiki.vn/may-bom-o-to-xe-hoi-da-nang-michelin-12266-p1389309.html?src=category-page-8594&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/61/d1/e7/bfaaf16fa055b34de32418f7ec258f51.jpg,1.350.000đ,1.059.000đ                                            -22%,217 nhận xét,YES,94%,,1,13
31513611,48901080,9169781318276," Kem đánh bóng kim loại đa dụng inox, đồng, .... Autosol Metal Polish 75ml",AUTOSOL,,https://tiki.vn/kem-danh-bong-kim-loai-da-dung-inox-dong-autosol-metal-polish-75ml-p31513611.html?src=category-page-8594&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/56/51/e9/644c1c460726b2b783b579af1f085d1e.jpg,80.000đ,75.000đ                                            -6%,88 nhận xét,YES,92%,,1,14
45351189,45351193,7970321337969,Xe máy Honda Air Blade 2020 - 125cc - Phanh CBS,Honda,,https://tiki.vn/xe-may-honda-air-blade-2020-125cc-phanh-cbs-p45351189.html?src=category-page-8594&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/9e/89/a5/aabcf405b6fe1a8e95eccc302e286f21.jpg,49.500.000đ,41.000.000đ                                            -17%,6 nhận xét,NO,94%,Trả góp 0%,1,15
12123432,12123438,5890996267564,Mũ Bảo Hiểm 1/2 Đầu Asia MT-105K -,ASIA,,https://tiki.vn/mu-bao-hiem-1-2-dau-asia-mt-105k-p12123432.html?src=category-page-8594&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/02/30/3a/7915e332e673215b530605e97bc25f7e.jpg,260.000đ,183.000đ                                            -30%,134 nhận xét,YES,94%,,1,16
19748905,63624930,1116571870108,"Bộ 2 đèn LED gắn van bánh xe đạp, xe máy, ô tô",OEM,,https://tiki.vn/bo-2-den-led-gan-van-banh-xe-dap-xe-may-o-to-p19748905.html?src=category-page-8594&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/b7/5b/de/3561283c435adfb63447ebabc180718f.jpg,99.000đ,18.000đ                                            -82%,124 nhận xét,YES,70%,,1,17
2050471,36679867,5028102498032,Băng keo cường lực 3M siêu dính 4229P-12 12mm x10m,3M,,https://tiki.vn/bang-keo-cuong-luc-3m-sieu-di-nh-4229p-12-12mm-x10m-p2050471.html?src=category-page-8594&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/b1/44/01/c58c03f0ed611ca4e016838bb76b3470.jpg,136.000đ,81.000đ                                            -40%,155 nhận xét,YES,86%,,1,18
3876417,63889571,7652896701733,Máy Sạc Bình Ắc Quy Tự Động Cho Xe Máy (12V 2A) ,OEM,,https://tiki.vn/may-sac-binh-ac-quy-tu-dong-cho-xe-may-12v-2a-p3876417.html?src=category-page-8594&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/9a/b5/19/2898f3742e478784c153af7a79d1c25f.jpg,179.000đ,82.000đ                                            -54%,115 nhận xét,YES,82%,,1,19
