Product-id,Seller-id,Product-SKU,Product-Title,Product-Brand,Author,URL,img_URL,Regular-Price,Final-Price,Comment,TIKI-NOW,Rating,Installment,Page,Location
3258989,16650160,1045985192974,Chiếu ngủ văn phòng,OEM,,https://tiki.vn/chieu-ngu-van-phong-p3258989.html?src=category-page-1883.8313&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/c9/46/bc/74b65e04af07f83e52416abb68985f98.jpg,60.000đ,34.000đ                                            -43%,812 nhận xét,YES,88%,,1,0
14426598,14426600,3144078961003,Nệm Đa Năng Everon,Everon,,https://tiki.vn/nem-da-nang-everon-p14426598.html?src=category-page-1883.8313&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/40/eb/b5/04e0c2384685826aaacaffe766b54c63.JPG,1.490.000đ,799.000đ                                            -46%,315 nhận xét,YES,92%,,1,1
10831298,35152724,8698704143837,Bộ chăn ga gối cotton PL1  Lá tre xanh   ,OEM,,https://tiki.vn/bo-chan-ga-goi-cotton-pl1-la-tre-xanh-p10831298.html?src=category-page-1883.8313&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/30/9f/de/aa2cef8d54fc0742e0a5fc07a8bc3091.jpg,990.000đ,199.000đ                                            -80%,132 nhận xét,YES,80%,,1,2
1399571,16554211,5944614557985,Gối Memory Foam 50D Hình Cong Lock&Lock HLW111 (50 x 30 cm) - Trắng,Lock&Lock,,https://tiki.vn/goi-memory-foam-50d-hinh-cong-lock-lock-hlw111-50-x-30-cm-trang-p1399571.html?src=category-page-1883.8313&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/9f/d5/4d/ca008783b8e3b276201af641979e588d.jpg,439.000đ,279.000đ                                            -36%,232 nhận xét,YES,92%,,1,3
10741666,35152748,2673239802882,Bộ chăn ga gối cotton cao cấp PL1 Kẻ dạ,OEM,,https://tiki.vn/bo-chan-ga-goi-cotton-cao-cap-pl1-ke-da-p10741666.html?src=category-page-1883.8313&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/98/41/bd/81e97642911c2609dbaad35bfa277c9c.jpg,450.000đ,198.900đ                                            -56%,99 nhận xét,YES,82%,,1,4
16654739,59359262,4071160840283,Màn chụp tự bung không đáy chống muỗi cao cấp 1m6x2m (hàng việt nam) - Giao màu ngẫu nhiên,OEM,,https://tiki.vn/man-chup-tu-bung-khong-day-chong-muoi-cao-cap-1m6x2m-hang-viet-nam-p16654739.html?src=category-page-1883.8313&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/73/cc/ba/06ef760c8a466f9102f31c49ec5c33d0.png,299.000đ,95.000đ                                            -68%,188 nhận xét,YES,88%,,1,5
4946403,35147114,9699534622539,Set 3 món ga gối Poly cotton Houston PL2 - Xám tam giác + Tặng 1 vỏ gối ôm,OEM,,https://tiki.vn/set-3-mon-ga-goi-poly-cotton-houston-pl2-xam-tam-giac-tang-1-vo-goi-om-p4946403.html?src=category-page-1883.8313&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/ac/36/dd/a3521128a9e04e7829503520b3b85b90.jpg,250.000đ,91.000đ                                            -64%,43 nhận xét,YES,78%,,1,6
20847946,20847964,6458557091240,Đệm Lò-xo túi D’LOUIS KINGDOM,OEM,,"https://tiki.vn//t.ants.vn/a3/c/?bc=9c96614016,pageview,1601214598,visitor,1,7496227197,638770403,1345151983,10384,1,3213692653,3213691509,1,0_1&t_rls=7496227197-638770407-0-2000&t_s=7496227197-3213692653-1345151983:1&t_kw=&t_z=&t_age=7496227197-3213692653-3:1.0&t_gd=7496227197-3213692653-1:1.0&t_tp=&t_itr=&t_imk=&t_rm=&c_tp=&c_itr=&c_imk=&c_rm=&ti_area=29:1:VN&ti_gd=1&ti_age=3&ti_pl=1&ti_nw=:::1000&ti_dv=1:1:5:10:169:487613&skw=&aid=visitor&cv=c908afdf&nspace=tiki&action_name=×tamp=1601214598859&url=&urlref=&hostname=&gent=&format=33&template=0&res=&gd=1&loc=29-1-vn&device_model=desktop&redirect=https%3A%2F%2Ftiki.vn%2Fdem-loxo-tui-dlouis-kingdom-160x200x30-p20847946.html%3Fspid%3D20847964&prd_imp=7496227197-3213692653-875532809:1&pos=8",https://salt.tikicdn.com/cache/280x280/ts/product/5f/f0/f2/6454f69c0bd589dd0f76955002db26ee.jpg,10.200.000đ,5.600.000đ                                            -45%,10 nhận xét,NO,98%,Trả góp 0%,1,7
5844161,32349812,3989703078158, Thảm nhung trải giường đa năng 1m8x2m,OEM,,https://tiki.vn/tham-nhung-trai-giuong-da-nang-1m8x2m-p5844161.html?src=category-page-1883.8313&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/8b/b1/1e/2b8c2bad84d6002aeb4f2b1ab61f9a7b.jpg,420.000đ,133.000đ                                            -68%,588 nhận xét,YES,80%,,1,8
781987,28732244,3938351368883,Gối Memory Foam 50D Lock & Lock HLW114 (62 x 34 x 10 cm),Lock&Lock,,https://tiki.vn/goi-memory-foam-50d-lock-lock-hlw114-62-x-34-x-10-cm-p781987.html?src=category-page-1883.8313&2hi=0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/1/_/1.u5386.d20170809.t135400.395957.jpg,719.000đ,415.000đ                                            -42%,279 nhận xét,YES,88%,,1,9
